Park_Code,Name,Designation,States,Latitude,Longitude,Description,URL,Country,Matham_Category
SRG,Sringeri Sharada Peetham,Matham,Karnataka,13.4167,75.2500,"Sringeri Sharada Peetham - First of the four Advaita Vedanta Matham established by Adi Shankaracharya. Located in Sringeri, Karnataka.",https://en.wikipedia.org/wiki/Sringeri_Sharada_Peetham,India,Advaita Peetham
DWP,Dwaraka Sharada Peetham,Matham,Gujarat,22.2400,68.9700,"Dwaraka Sharada Peetham - Second of the four Advaita Vedanta Matham established by Adi Shankaracharya. Located in Dwarka, Gujarat.",https://en.wikipedia.org/wiki/Dwarka_Peetham,India,Advaita Peetham
JYM,Jyotir Math,Matham,Uttarakhand,30.5500,79.5667,"Jyotir Math (Joshimath) - Third of the four Advaita Vedanta Matham established by Adi Shankaracharya. Located in Joshimath, Uttarakhand.",https://en.wikipedia.org/wiki/Jyotir_Math,India,Advaita Peetham
GVM,Govardhana Math,Matham,Odisha,19.8056,85.8181,"Govardhana Math - Fourth of the four Advaita Vedanta Matham established by Adi Shankaracharya. Located in Puri, Odisha.",https://en.wikipedia.org/wiki/Govardhana_Math,India,Advaita Peetham
KCP,Kanchi Kamakoti Peetham,Matham,Tamil Nadu,12.8333,79.7000,"Kanchi Kamakoti Peetham - Important Advaita Vedanta Matham. Located in Kanchipuram, Tamil Nadu.",https://en.wikipedia.org/wiki/Kanchi_Kamakoti_Peetham,India,Advaita Peetham
UAM,Udupi Ashta Mathas,Matham,Karnataka,13.3389,74.7451,"Udupi Ashta Mathas - Eight Matham established by Madhvacharya around the Udupi Krishna Temple. Located in Udupi, Karnataka.",https://en.wikipedia.org/wiki/Udupi,India,Dvaita Peetham
MYS,Mysore Parakala Matham,Matham,Karnataka,12.3056,76.6528,"Mysore Parakala Matham - Important Sri Vaishnava matham. Located in Mysore, Karnataka.",https://en.wikipedia.org/wiki/Parakala_Mutt,India,Sri Vaishnava
MEL,Melkote Cheluvanarayana Swamy Temple Matham,Matham,Karnataka,12.6667,76.6500,"Melkote Cheluvanarayana Swamy Temple Matham - Important Sri Vaishnava matham. Located in Melkote, Karnataka.",https://en.wikipedia.org/wiki/Melkote,India,Sri Vaishnava
AHO,Ahobila Matham,Matham,Andhra Pradesh,14.5000,79.7000,"Ahobila Matham - Important Sri Vaishnava matham. Located in Ahobilam, Andhra Pradesh.",https://en.wikipedia.org/wiki/Ahobila_Math,India,Sri Vaishnava
SRM,Srirangam Ranganatha Swamy Temple Matham,Matham,Tamil Nadu,10.8667,78.8167,"Srirangam Ranganatha Swamy Temple Matham - Important Sri Vaishnava matham. Located in Srirangam, Tamil Nadu.",https://en.wikipedia.org/wiki/Srirangam_Ranganathaswamy_temple,India,Sri Vaishnava
